Timestamp,Satellite_Name,Latitude,Longitude,Altitude_km,Elevation_Deg,Distance_km,Signal_Strength_Pct,Status
2025-08-22 03:43:04,STARLINK-1008,22.76,119.9528,378.84,65.78,415.42,65.78,通訊良好
2025-08-22 03:43:34,STARLINK-1008,24.2501,121.222,379.15,81.55,383.31,81.55,通訊良好
2025-08-22 12:59:45,STARLINK-1012,22.6124,119.6801,-2936.08,0.0,2942.76,0.0,訊號不足
2025-08-22 13:00:15,STARLINK-1012,25.4103,122.1907,-2935.86,0.0,2943.21,0.0,訊號不足
2025-08-22 22:16:26,STARLINK-1012,24.3908,120.3674,-2923.12,0.0,2923.42,0.0,訊號不足
2025-08-22 15:11:18,STARLINK-1020,25.1653,120.6955,340.71,71.5,359.28,71.5,通訊良好
2025-08-22 15:11:48,STARLINK-1020,23.6708,121.9959,340.39,67.13,369.43,67.13,通訊良好
2025-08-22 16:13:19,STARLINK-1036,24.5592,121.3538,356.86,76.96,366.31,76.96,通訊良好
2025-08-22 07:37:09,STARLINK-1043,21.907,122.4015,425.15,54.39,522.91,54.39,通訊良好
2025-08-22 17:37:21,STARLINK-1046,25.002,120.8895,444.6,77.55,455.31,77.55,通訊良好
2025-08-22 17:37:51,STARLINK-1046,23.5443,122.1567,444.21,69.72,473.56,69.72,通訊良好
2025-08-22 03:13:33,STARLINK-1047,25.8663,119.2629,482.46,63.62,538.52,63.62,通訊良好
2025-08-22 14:41:47,STARLINK-1048,24.6127,120.8186,350.62,81.18,354.81,81.18,通訊良好
2025-08-22 14:42:17,STARLINK-1048,23.1196,122.1073,350.13,62.22,395.74,62.22,通訊良好
2025-08-22 15:47:19,STARLINK-1114,21.4629,119.719,363.83,49.24,480.3,49.24,通訊良好
2025-08-22 15:47:49,STARLINK-1114,22.9646,120.969,364.07,69.8,387.94,69.8,通訊良好
2025-08-22 15:48:19,STARLINK-1114,24.4538,122.2495,364.33,65.92,399.07,65.92,通訊良好
2025-08-22 12:19:14,STARLINK-1094,22.0205,121.9246,-47.42,0.0,272.03,0.0,訊號不足
2025-08-22 23:28:28,STARLINK-1080,21.9887,119.8266,391.97,56.99,467.42,56.99,通訊良好
2025-08-22 22:05:56,STARLINK-1090,25.4721,119.6814,425.67,67.17,461.84,67.17,通訊良好
2025-08-22 22:06:26,STARLINK-1090,24.0089,120.9623,425.35,85.68,426.56,85.68,通訊良好
2025-08-22 22:06:56,STARLINK-1090,22.5328,122.2118,425.04,60.81,486.88,60.81,通訊良好
2025-08-22 19:51:23,STARLINK-1132,24.9925,121.2209,451.0,76.36,464.09,76.36,通訊良好
2025-08-22 19:51:54,STARLINK-1132,23.5343,122.4822,450.71,66.57,491.19,66.57,通訊良好
